	Kingdom	Phyllum	Class	Order	Family	Genus	Species
ZOTU493	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Fluviicola	 s__uncultured_bacterium
ZOTU6153	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Alkanindiges	 s__
ZOTU20086	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Cohnella	 s__
ZOTU380	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__
ZOTU7641	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__
ZOTU1431	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	 s__
ZOTU5159	 k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_	 f__1.0000	 g__SR1	 s__Absconditabacteriales_
ZOTU9546	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelatoclostridiaceae	 g__Erysipelatoclostridium	 s__
ZOTU1212	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingopyxis	 s__
ZOTU4782	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	 s__
ZOTU45	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Rhodococcus	 s__
ZOTU116	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__	 s__
ZOTU7516	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Aliihoeflea	 s__
ZOTU10633	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__Bacillus_endoradicis
ZOTU11030	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Ruminococcaceae	 g__	 s__
ZOTU12859	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Prosthecobacter	 s__uncultured_bacterium
ZOTU14300	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Sphingobacterium	 s__
ZOTU579	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	 s__
ZOTU5497	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	 s__
ZOTU3064	 k__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__	 g__	 s__
ZOTU879	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	 s__
ZOTU22021	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__Parabacteroides	 s__
ZOTU5665	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
ZOTU17557	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Azotobacter	 s__Azotobacter_beijerinckii
ZOTU4550	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__
ZOTU3339	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Sutterellaceae	 g__uncultured	 s__
ZOTU659	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU11882	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Ochrobactrum	 s__
ZOTU12271	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Blfdi19	 f__Blfdi19	 g__Blfdi19	 s__
ZOTU4158	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Gluconobacter	 s__
ZOTU1157	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Chromobacteriaceae	 g__Crenobacter	 s__
ZOTU9059	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Orbales	 f__Orbaceae	 g__Orbus	 s__Cronobacter_sp.
ZOTU20127	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Azospirillum	 s__uncultured_bacterium
ZOTU7411	 k__Bacteria	 p__Verrucomicrobiota	 c__Lentisphaeria	 o__Victivallales	 f__vadinBE97	 g__vadinBE97	 s__
ZOTU15003	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__	 g__	 s__
ZOTU5298	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Paracoccus	 s__
ZOTU5425	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Reyranellales	 f__Reyranellaceae	 g__Reyranella	 s__
ZOTU7708	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__
ZOTU7900	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Planococcaceae	 g__	 s__
ZOTU5107	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Phaselicystidaceae	 g__Phaselicystis	 s__metagenome
ZOTU2473	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Akkermansiaceae	 g__Akkermansia	 s__uncultured_Verrucomicrobia
ZOTU6970	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__
ZOTU5940	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__OM27_clade	 s__metagenome
ZOTU5681	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acetobacter	 s__
ZOTU12354	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__
ZOTU12350	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU18467	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__Stenotrophomonas	 s__
ZOTU206	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Aeromonadales	 f__Aeromonadaceae	 g__Aeromonas	 s__
ZOTU4643	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__
ZOTU5057	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Corynebacteriaceae	 g__Corynebacterium	 s__Corynebacterium_sputi
ZOTU10373	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
ZOTU17224	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Azospirillum	 s__
ZOTU21988	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__
ZOTU6393	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__
ZOTU253	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Shewanellaceae	 g__Shewanella	 s__
ZOTU687	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	 s__
ZOTU543	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU615	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Weeksellaceae	 g__Chryseobacterium	 s__
ZOTU11326	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__
ZOTU268	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae	 g__	 s__
ZOTU12334	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__MND1	 s__
ZOTU6640	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Ellin517	 s__
ZOTU2898	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__
ZOTU4387	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Streptococcus	 s__
ZOTU467	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Fluviicola	 s__
ZOTU17727	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	 s__
ZOTU3855	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Roseimicrobium	 s__uncultured_bacterium
ZOTU15221	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU6781	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Morganellaceae	 g__Morganella	 s__
ZOTU4234	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Emticicia	 s__
ZOTU1872	 k__Bacteria	 p__Cyanobacteria	 c__Sericytochromatia	 o__Sericytochromatia	 f__Sericytochromatia	 g__Sericytochromatia	 s__Hyaloperonospora_arabidopsidis
ZOTU20278	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
ZOTU14189	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 s__Rhizobium_sp.
ZOTU18854	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Oscillospiraceae	 g__	 s__
ZOTU14057	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU43	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__NS11-12_marine_group	 g__NS11-12_marine_group	 s__metagenome
ZOTU348	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micromonosporales	 f__Micromonosporaceae	 g__Luedemannella	 s__
ZOTU15287	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Azomonas_agilis
ZOTU195	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Fluviicola	 s__uncultured_bacterium
ZOTU707	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__	 s__
ZOTU87	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__37-13	 g__37-13	 s__
ZOTU5020	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Hydrogenophaga	 s__
ZOTU20837	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU130	 k__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Herpetosiphonaceae	 g__Herpetosiphon	 s__Herpetosiphon_aurantiacus
ZOTU6	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Brevifollis	 s__
ZOTU13462	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae	 g__	 s__
ZOTU21	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Rhodanobacteraceae	 g__Tahibacter	 s__
ZOTU14456	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	 s__
ZOTU12982	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Sphingobacterium	 s__
ZOTU10474	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Burkholderiaceae	 g__Burkholderia-Caballeronia-Paraburkholderia	 s__
ZOTU4666	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
ZOTU10274	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae	 g__Nesterenkonia	 s__
ZOTU1186	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
ZOTU2876	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__
ZOTU19930	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__	 s__
ZOTU5603	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
ZOTU212	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae	 g__Rheinheimera	 s__
ZOTU3588	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__
ZOTU2772	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__Ohtaekwangia	 s__
ZOTU19389	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Lachnospirales	 f__Lachnospiraceae	 g__	 s__
ZOTU7423	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Williamsia	 s__
ZOTU1169	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__
ZOTU1314	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Caulobacter	 s__
ZOTU339	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Sphingobacterium	 s__uncultured_bacterium
ZOTU12284	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Aquicella	 s__
ZOTU325	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU8686	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Alkanindiges	 s__
ZOTU18693	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	 s__
ZOTU7979	 k__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	 s__
ZOTU2098	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Aeromicrobium	 s__
ZOTU9645	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Cellvibrionaceae	 g__Cellvibrio	 s__
ZOTU817	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Chromobacteriaceae	 g__Vogesella	 s__uncultured_bacterium
ZOTU18677	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__
ZOTU12234	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Rhizobacter	 s__uncultured_bacterium
ZOTU11487	 k__Bacteria	 p__Spirochaetota	 c__Brachyspirae	 o__Brachyspirales	 f__Brachyspiraceae	 g__Brachyspira	 s__
ZOTU16651	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinifilaceae	 g__Odoribacter	 s__uncultured_bacterium
ZOTU10007	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Rurimicrobium	 s__uncultured_bacterium
ZOTU5093	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Pseudomonas_sp.
ZOTU776	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Cavicella	 s__Moraxellaceae_bacterium
ZOTU12450	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU6166	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Gluconacetobacter	 s__
ZOTU12227	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU17807	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__
ZOTU20677	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Enhydrobacter	 s__
ZOTU18703	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Aquabacterium	 s__
ZOTU10422	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__
ZOTU8344	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae	 g__Escherichia-Shigella	 s__
ZOTU15045	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU3793	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__
ZOTU11679	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__Alistipes	 s__
ZOTU17856	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__Vicinamibacteraceae	 g__Vicinamibacteraceae	 s__
ZOTU267	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Rhodococcus	 s__
ZOTU10303	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Salinisphaerales	 f__Solimonadaceae	 g__Fontimonas	 s__
ZOTU9020	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
ZOTU7822	 k__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae	 g__Treponema	 s__
ZOTU12792	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Lachnospirales	 f__Lachnospiraceae	 g__	 s__
ZOTU4690	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	 s__
ZOTU847	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Gordonia	 s__
ZOTU1006	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Acidothermaceae	 g__Acidothermus	 s__
ZOTU8430	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cytophagaceae	 g__Sporocytophaga	 s__uncultured_bacterium
ZOTU8313	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Ruminococcaceae	 g__	 s__
ZOTU913	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Perlucidibaca	 s__
ZOTU7967	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Staphylococcales	 f__Staphylococcaceae	 g__Staphylococcus	 s__
ZOTU17286	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__Parabacteroides	 s__
ZOTU16419	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU517	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Corynebacteriaceae	 g__Corynebacterium	 s__
ZOTU12021	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Luteolibacter	 s__uncultured_bacterium
ZOTU311	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	 s__
ZOTU2444	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Flectobacillus	 s__
ZOTU14213	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Corynebacteriaceae	 g__Corynebacterium	 s__
ZOTU4179	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae	 g__	 s__
ZOTU2534	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__	 g__	 s__
ZOTU62	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__
ZOTU3113	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__NS11-12_marine_group	 g__NS11-12_marine_group	 s__
ZOTU66	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Propionibacteriaceae	 g__Cutibacterium	 s__uncultured_bacterium
ZOTU8722	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	 s__metagenome
ZOTU6608	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelatoclostridiaceae	 g__	 s__
ZOTU964	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 s__
ZOTU1172	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Mycobacteriaceae	 g__Mycobacterium	 s__
ZOTU8088	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__	 s__
ZOTU17602	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinifilaceae	 g__Odoribacter	 s__
ZOTU371	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Phaeodactylibacter	 s__uncultured_bacterium
ZOTU4536	 k__Bacteria	 p__Cyanobacteria	 c__Sericytochromatia	 o__Sericytochromatia	 f__	 g__	 s__
ZOTU1391	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__uncultured	 s__metagenome
ZOTU716	 k__Bacteria	 p__Verrucomicrobiota	 c__Lentisphaeria	 o__Victivallales	 f__vadinBE97	 g__vadinBE97	 s__
ZOTU4683	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Orbales	 f__Orbaceae	 g__	 s__
ZOTU10469	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__	 s__
ZOTU4177	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__Methylobacterium-Methylorubrum	 s__
ZOTU4837	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Moranbacteria	 f__Candidatus_Moranbacteria	 g__Candidatus_Moranbacteria	 s__
ZOTU2536	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU18578	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
ZOTU177	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__uncultured	 g__uncultured	 s__
ZOTU2590	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Candidatus_Hepatincola	 g__Candidatus_Hepatincola	 s__uncultured_bacterium
ZOTU19270	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_	 g__1.0000	 s__0.9500
