	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
A001	S	Male	Ventral	MV	0	1	0	1	1	1	1	605	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	40	6	6	7/3/2022
A002	S	Male	Dorsal	MD	0	0	1	1	1	1	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	9/3/2022
A003	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A004	S	Female	Ventral	FV	1	1	0	1	1	1	1	1	501	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A005	S	Male	Dorsal	MD	1	0	1	1	1	1	1	715	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
A006	S	Male	Dorsal	MD	0	0	1	1	1	1	1	620	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A007	S	Male	Ventral	MV	0	0	1	1	1	1	1	405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A009	S	Male	Dorsal	MD	0	0	1	1	1	1	1	405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A010	S	Male	Ventral	MV	1	1	1	1	1	1	1	678	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	48	52	7/3/2022
A011a	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A011b	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A012	S	Female	Dorsal	FD	1	0	0	1	1	1	1	1	650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	7/3/2022
A013	S	Male	Ventral	MV	1	0	1	1	1	1	1	715	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
A014	S	Male	Dorsal	MD	1	1	1	1	1	1	1	678	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	48	52	7/3/2022
A015	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	7/3/2022
A016	S	Female	Ventral	FV	1	1	0	1	1	1	1	1	681	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7/3/2022
A017	S	Male	Ventral	MV	0	0	1	1	1	1	1	620	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A018	S	Male	Dorsal	MD	0	1	1	1	1	1	1	605	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	40	3	3	7/3/2022
A019	S	Female	Dorsal	FD	1	1	0	1	1	1	1	1	681	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7/3/2022
A020	S	Male	Ventral	MV	0	0	1	1	1	1	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	9/3/2022
A021	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A022	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	610	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	7/3/2022
A023	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A024	S	Female	Ventral	FV	0	1	0	1	1	1	1	1	410	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A025	S	Female	Dorsal	FD	1	1	0	1	1	1	1	1	501	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A026	S	Female	Dorsal	FD	0	1	0	1	1	1	1	1	410	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A027	S	Male	Dorsal	MD	0	1	0	1	1	1	1	422	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A028	S	Male	Dorsal	MD	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A029	S	Male	Ventral	MV	0	1	0	1	1	1	1	422	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A030	S	Male	Dorsal	MD	1	0	0	1	1	1	1	431	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
A031	S	Male	Ventral	MV	1	0	0	1	1	1	1	431	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
A032	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	441	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
A033	S	Female	Dorsal	FD	1	0	0	1	1	1	1	1	441	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
A034	S	Male	Ventral	MV	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A035	S	Male	Dorsal	MD	1	1	0	1	1	1	1	424	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A036	S	Male	Ventral	MV	1	1	0	1	1	1	1	424	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A037	S	Female	Dorsal	FD	1	0	0	1	1	1	1	1	676	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
A038	S	Male	Dorsal	MD	1	0	0	1	1	1	1	673	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
A039	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	676	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
A040	S	Male	Ventral	MV	1	0	0	1	1	1	1	673	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
A041	S	Female	Dorsal	FD	0	1	0	1	1	1	1	1	689	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	16	16	16/3/2022
A042	S	Female	Ventral	FV	0	1	0	1	1	1	1	1	717	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
A043	S	Female	Dorsal	FD	0	1	0	1	1	1	1	1	717	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
A044	S	Male	Ventral	MV	0	1	0	1	1	1	1	507	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
A045a	d	Male	Ventral	MV	1	1	0	1	1	1	1	682	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	17	37	16	16/3/2022
A045b	d	Male	Ventral	MV	1	1	0	1	1	1	1	682	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	17	37	16	16/3/2022
A046	S	Female	Ventral	FV	0	1	0	1	1	1	1	1	689	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	16	16	16/3/2022
A047a	d	Male	Dorsal	MD	1	1	0	1	1	1	1	682	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	17	37	16	16/3/2022
A047b	d	Male	Dorsal	MD	1	1	0	1	1	1	1	682	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	17	37	16	16/3/2022
A048	S	Male	Dorsal	MD	0	1	0	1	1	1	1	507	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
A049	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	1/3/2022
A050a	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	1/3/2022
A050b	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	1/3/2022
A051	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	413	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
A052	S	Male	Ventral	MV	1	0	0	1	1	1	1	415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
A054	S	Male	Dorsal	MD	0	0	1	1	1	1	1	730	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A055a	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A055b	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A056	S	Male	Dorsal	MD	1	0	0	1	1	1	1	415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
A057	S	Male	Ventral	MV	0	0	1	1	1	1	1	730	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A058a	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A058b	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
A059	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	5/4/2022
A060a	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	5/4/2022
A060b	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	5/4/2022
A061a	d	Male	Dorsal	MD	0	0	1	1	1	1	1	422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A061b	d	Male	Dorsal	MD	0	0	1	1	1	1	1	422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A062a	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A062b	d	Female	Dorsal	FD	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A063a	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A063b	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
A065a	d	Male	Dorsal	MD	1	0	1	1	1	1	1	675	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	34	39	34	34	30/4/2022
A065b	d	Male	Dorsal	MD	1	0	1	1	1	1	1	675	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	34	39	34	34	30/4/2022
A066a	d	Male	Ventral	MV	1	0	1	1	1	1	1	675	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	34	39	34	34	30/4/2022
A066b	d	Male	Ventral	MV	1	0	1	1	1	1	1	675	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	34	39	34	34	30/4/2022
A067a	d	Female	Dorsal	FD	1	1	1	1	1	1	1	1	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	34	39	40	34	30/4/2022
A067b	d	Female	Dorsal	FD	1	1	1	1	1	1	1	1	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	34	39	40	34	30/4/2022
A068a	d	Female	Ventral	FV	1	1	1	1	1	1	1	1	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	34	39	40	34	30/4/2022
A068b	d	Female	Ventral	FV	1	1	1	1	1	1	1	1	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	34	39	40	34	30/4/2022
A069	S	Male	Dorsal	MD	0	1	1	1	1	1	1	658	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	35	49	35	35	30/4/2022
A070	S	Male	Ventral	MV	0	1	1	1	1	1	1	658	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	35	49	35	35	30/4/2022
A071	S	Female	Dorsal	FD	0	1	0	1	1	1	1	1	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	30/4/2022
A073	S	Male	Dorsal	MD	0	0	1	1	1	1	1	602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	30/4/2022
A074	S	Male	Ventral	MV	0	0	1	1	1	1	1	602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	30/4/2022
A075	S	Female	Dorsal	FD	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30/4/2022
A076	S	Female	Ventral	FV	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30/4/2022
A077a	d	Female	Dorsal	FD	1	0	0	1	1	1	1	1	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	30/4/2022
A077b	d	Female	Dorsal	FD	1	0	0	1	1	1	1	1	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	30/4/2022
A078	S	Male	Dorsal	MD	1	0	0	1	1	1	1	684	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	no
A079	S	Male	Ventral	MV	1	0	0	1	1	1	1	684	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	no
A080	S	Female	Dorsal	FD	1	0	0	1	1	1	1	1	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	no
A081	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	no
A082	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	no
A083	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	no
A085	S	Male	Ventral	MV	0	1	0	1	1	1	1	657	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
A086a	d	Female	Dorsal	FD	0	1	0	1	1	1	1	1	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
A086b	d	Female	Dorsal	FD	0	1	0	1	1	1	1	1	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
A087	S	Female	Ventral	FV	0	1	0	1	1	1	1	1	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
NTC1	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no
NTC2	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no
PTC	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no
PTC2	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no
S001	S	no	no	ENVIRONMENT	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
S006	S	no	no	CLW1	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	9/3/2022
S009a	d	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
S009b	d	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
S012	S	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	9/3/2022
S018	S	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
S019	S	no	no	CLW1	1	0	0	424	501	424	501	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9/3/2022
S023	S	no	no	ENVIRONMENT	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7/3/2022
S026	S	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	7/3/2022
S033	S	no	no	AIR	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
S034a	d	no	no	ENVIRONMENT	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
S034b	d	no	no	ENVIRONMENT	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
S037a	d	no	no	CLW1	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	7/3/2022
S037b	d	no	no	CLW1	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	7/3/2022
S044a	d	no	no	ENVIRONMENT	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	29	6	6	9/3/2022
S044b	d	no	no	ENVIRONMENT	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	29	6	6	9/3/2022
S053	S	no	no	ENVIRONMENT	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
S063	S	no	no	WATER	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	14/3/2022
S064a	d	no	no	CLW2	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	14/3/2022
S064b	d	no	no	CLW2	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	14/3/2022
S067a	d	no	no	CLW2	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	14/3/2022
S067b	d	no	no	CLW2	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	14/3/2022
S068	S	no	no	CLW2	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	14/3/2022
S070a	d	no	no	CLW2	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	14/3/2022
