	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S378	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26/5/2022
S379a	d	no	no	CLW1	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	26/5/2022
S379b	d	no	no	CLW1	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	26/5/2022
S380a	d	no	no	CLW2	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	28/5/2022
S380b	d	no	no	CLW2	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	28/5/2022
S381	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	9/5/2022
S382	S	no	no	CLW2	0	0	1	657	661	602	777	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	no
S383	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	no
S384a	d	no	no	CLW2	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	1/6/2022
S384b	d	no	no	CLW2	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	1/6/2022
S385	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	no
S386	S	no	no	METAMORPH	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	no
S387	S	no	no	METAMORPH	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	no
S388a	d	no	no	METAMORPH	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	no
S388b	d	no	no	METAMORPH	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	no
S391	S	no	no	TP	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S392	S	no	no	TP	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S393	S	no	no	TP	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S394	S	no	no	TP	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
